,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
3917,Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2016,5.3,97000,135000
3921,Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,215000,28000
3922,Acadia,Riyadh,GMC,Automatic,Saudi,Full,2008,3.6,220000,20000
3923,Taurus,Dammam,Ford,Automatic,Other,Semi Full,2018,3.5,100000,89000
3924,KICKS,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,28000,58000
3925,Yukon,Dammam,GMC,Automatic,Saudi,Standard,2014,5.3,92000,90000
3926,Tuscani,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,95000,55000
3927,Grand Cherokee,Al-Medina,Jeep,Automatic,Saudi,Full,2015,5.7,215000,65000
3930,Rio,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,1.4,138000,30000
3931,Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2019,4.6,38000,255000
3934,Cerato,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,1.6,159,33000
3935,Grand Cherokee,Jeddah,Jeep,Automatic,Saudi,Standard,2015,3.6,148,69500
3938,ES,Makkah,Lexus,Automatic,Saudi,Full,2021,3.5,25000,230000
3939,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,87042,29500
3941,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,58000,35000
3944,A,Jeddah,Mercedes,Automatic,Saudi,Standard,2020,2.0,10770,165000
3945,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.4,115,22500
3946,Innova,Jazan,Toyota,Automatic,Saudi,Full,2017,2.4,167000,70000
3947,Camry,Riyadh,Toyota,Automatic,Saudi,Full,2018,3.5,24000,106000
3950,Duster,Riyadh,Renault,Automatic,Saudi,Standard,2018,2.0,53811,29500
3952,Elantra,Jeddah,Hyundai,Automatic,Saudi,Full,2018,2.0,142,52000
3954,4Runner,Jeddah,Toyota,Automatic,Saudi,Full,2018,6.1,115150,95000
3955,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.7,200000,57000
3956,Camry,Qassim,Toyota,Automatic,Saudi,Full,2012,2.5,265000,32000
3957,Creta,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,65357,55000
3958,ATS,Riyadh,Cadillac,Automatic,Gulf Arabic,Full,2018,2.0,51000,125000
3963,Expedition,Tabouk,Ford,Automatic,Saudi,Semi Full,2007,3.5,241271,25000
3967,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,78000,36000
3968,Land Cruiser 70,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2019,4.0,131592,116000
3970,A,Riyadh,Mercedes,Automatic,Gulf Arabic,Standard,2020,2.0,12500,150000
3971,CRV,Jeddah,Honda,Automatic,Gulf Arabic,Full,2010,2.7,105000,35000
3973,G80,Jeddah,Genesis,Automatic,Saudi,Full,2013,3.8,124,55000
3975,Camry,Jeddah,Toyota,Automatic,Saudi,Full,2016,2.5,155,58000
3978,Taurus,Riyadh,Ford,Automatic,Other,Full,2019,3.5,32714,109000
3979,Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2015,2.0,69000,45000
3980,Camry,Al-Ahsa,Toyota,Manual,Saudi,Full,1995,2.5,300,12000
3981,Sportage,Riyadh,Kia,Automatic,Other,Standard,2016,2.0,55000,68000
3982,Yukon,Aseer,GMC,Automatic,Other,Semi Full,2015,5.3,292000,75000
3985,Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2014,1.6,410000,25000
3986,The 4,Riyadh,BMW,Automatic,Gulf Arabic,Full,2015,2.0,122000,110000
