,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1,Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,8.0,80000,120000
2,Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2015,5.0,140000,260000
3,Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,42000
5,CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,58000
6,Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,85000
7,Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,48000
8,Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,81500
10,C300,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,55000
11,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,145000
12,LS,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,38000
13,FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,140000
17,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,71000,200000
18,Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,65000
20,Sunny,Riyadh,Nissan,Manual,Saudi,Standard,2011,1.4,290,7000
21,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,76000
23,Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,32000
24,Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,23000
25,5,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,42000
26,Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,20000
29,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,23000
30,ML,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,45000
31,Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,30000
32,Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,149000
35,A,Riyadh,Mercedes,Automatic,Other,Standard,2021,2.0,10000,179000
36,Altima,Aseer,Nissan,Automatic,Saudi,Full,2011,2.5,18500,22000
37,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,55000
39,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,270000,49500
41,Senta fe,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,52000
43,Liberty,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,25000
45,X,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,72000
46,Elantra,Abha,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,27000,1010
47,Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,105000
49,VTC,Riyadh,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,99000
50,Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,57000
51,The 5,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,140000
55,Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2010,4.0,208000,72000
56,Sonata,Makkah,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,110000
57,Grand Cherokee,Al-Namas,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,55000
59,Camry,Taef,Toyota,Automatic,Saudi,Semi Full,2001,9.0,150000,15000
60,SL,Jeddah,Mercedes,Automatic,Saudi,Full,2017,4.7,81000,265000
61,Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,56500
64,FJ,Jeddah,Toyota,Automatic,Saudi,Full,2015,4.0,228000,90000
65,Malibu,Arar,Chevrolet,Automatic,Saudi,Standard,2021,1.5,24000,1200
67,MKZ,Riyadh,Lincoln,Automatic,Saudi,Semi Full,2013,3.7,98100,71500
69,Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,29000
70,Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,62000
71,Yukon,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,141000
73,Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2019,4.5,82808,230000
74,GLC,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,4000,225000
76,Edge,Jeddah,Ford,Automatic,Saudi,Full,2011,3.5,70000,60000
77,6,Jeddah,Mazda,Automatic,Saudi,Standard,2021,2.5,115,93000
79,Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,68000
80,Navara,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,50000
83,Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,69000
84,G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,121500
85,Carnival,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,38000
86,Suburban,Al-Medina,Chevrolet,Automatic,Other,Full,1999,5.3,70000,20000
87,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,51000
89,Camaro,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,89000,109000
90,Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,48000
92,Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,47000
93,C300,Riyadh,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,88000
94,Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,15000
95,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,20000
96,Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,47000
98,Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,142000
100,Datsun,Qassim,Nissan,Manual,Saudi,Standard,2016,2.4,866,53000
101,Innova,Qassim,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,39000
103,Taurus,Makkah,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,58000
105,Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,78500
106,Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,60000
108,Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,60000
111,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,35000
112,Flex,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.6,290000,30000
114,S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,45000
116,Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,43632,45500
118,Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,125000
119,Murano,Riyadh,Nissan,Automatic,Saudi,Standard,2008,1.0,300,9500
120,S,Al-Ahsa,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,63000
121,Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,63000
122,Land Cruiser 70,Makkah,Toyota,Manual,Saudi,Full,2015,2.6,180000,80000
124,Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,60000
126,Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,44000
128,3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,54000
129,Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,37000
130,Pick up,Sabya,Zhengzhou,Manual,Saudi,Semi Full,2020,2.4,13800,35000
131,Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,79000
132,H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,1.5,9000,70000
135,Hilux,Al-Jouf,Toyota,Manual,Saudi,Full,2017,2.7,168000,81000
136,Corolla,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,1.6,86500,48000
139,Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,192692,68500
142,Taurus,Dammam,Ford,Automatic,Saudi,Standard,2019,2.0,48000,80000
144,Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,33500
146,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,33000
147,Fusion,Jazan,Ford,Automatic,Saudi,Standard,2012,2.5,219000,14500
148,Aveo,Qassim,Chevrolet,Manual,Other,Standard,2011,1.2,102000,11000
149,Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,118000
155,Corolla,Qassim,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,36500
157,Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,34000,32000
158,CX9,Al-Ahsa,Mazda,Automatic,Saudi,Full,2016,2.5,229000,63000
161,Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,65000
163,Flex,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,201000,57000
164,Optima,Riyadh,Kia,Automatic,Saudi,Full,2017,2.4,130,48000
165,Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,75000
169,Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,61500
170,Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,25000
171,Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,32000
172,Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2011,5.3,231000,45000
175,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,44500
178,Pick up,Al-Baha,Zhengzhou,Manual,Saudi,Full,2016,2.4,128,35000
179,Pajero,Qassim,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,39000
181,Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,99000
182,Suburban,Riyadh,GMC,Automatic,Saudi,Semi Full,1995,5.3,215000,13000
183,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,29000
184,CT-S,Riyadh,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,32000
185,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,60000
187,Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.4,132000,37000
188,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,125000
189,Sylvian Bus,Riyadh,Nissan,Manual,Saudi,Full,2018,3.0,3000,107000
190,ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,103000,102000
191,Navigator,Khobar,Lincoln,Automatic,Saudi,Full,2013,5.7,27700,50000
192,Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2016,5.3,205544,99500
193,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,58000
195,ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,122000
196,ES,Makkah,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,65000
197,Opirus,Riyadh,Kia,Automatic,Other,Semi Full,2006,3.5,25500,14000
199,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,23000
200,Senta fe,Riyadh,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,21000
201,Taurus,Dammam,Ford,Automatic,Other,Semi Full,2018,3.5,107000,77000
202,Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2016,4.8,4700,88000
204,Taurus,Jeddah,Ford,Automatic,Saudi,Semi Full,2015,2.5,172000,52000
205,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.5,110790,77000
206,The 7,Al-Medina,BMW,Automatic,Saudi,Full,2014,2.0,116000,100000
208,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2016,2.5,63000,58000
209,Creta,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,16576,59500
210,CX9,Dammam,Mazda,Automatic,Other,Full,2016,2.5,104000,105000
213,Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,132000,45000
214,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,30000
216,Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,59500
217,Camry,Makkah,Toyota,Automatic,Saudi,Full,2020,2.4,2000,119000
219,Azera,Jeddah,Hyundai,Automatic,Saudi,Full,2016,3.5,146000,56500
222,CS35,Riyadh,Changan,Automatic,Saudi,Full,2021,1.6,5000,44000
223,Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,191,38500
225,Edge,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,240000,35000
226,LS,Dammam,Lexus,Automatic,Saudi,Full,2015,4.6,132000,165000
227,Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,300000,48000
228,Hilux,Najran,Toyota,Manual,Saudi,Full,2018,2.7,122000,65000
229,The 3,Riyadh,BMW,Automatic,Saudi,Semi Full,2013,2.0,156000,45000
230,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,143000,60000
233,GLE,Riyadh,Mercedes,Automatic,Other,Full,2020,6.9,24000,330000
234,Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2015,2.0,300,25000
236,Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,72910
237,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2010,4.6,344000,88000
238,Sedona,Jeddah,Kia,Automatic,Other,Semi Full,2016,3.2,118000,65000
240,Victoria,Khobar,Ford,Automatic,Saudi,Standard,2011,4.6,176000,50000
241,Prestige,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.5,293000,77000
243,Corolla,Riyadh,Toyota,Automatic,Saudi,Full,2003,1.0,50000,15000
244,CX9,Riyadh,Mazda,Automatic,Saudi,Full,2014,3.7,388000,37000
245,Tahoe,Aseer,Chevrolet,Automatic,Other,Semi Full,2008,5.3,300000,35000
246,CLA,Riyadh,Mercedes,Automatic,Other,Full,2020,2.0,15000,410000
247,Grand Cherokee,Dammam,Jeep,Automatic,Saudi,Full,2013,5.7,77000,77000
249,Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,33000
251,Vanquish,Dammam,Aston Martin,Automatic,Saudi,Full,2013,6.0,32000,400000
257,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,81967,35500
258,Land Cruiser,Hail,Toyota,Manual,Gulf Arabic,Full,2013,1.0,378000,75000
259,ES,Dammam,Lexus,Automatic,Saudi,Full,2013,1.6,263000,66000
260,Hilux,Dammam,Toyota,Manual,Saudi,Full,2016,2.7,174172,65000
261,Hilux,Jazan,Toyota,Manual,Saudi,Semi Full,2017,2.7,106737,75000
263,Safrane,Jeddah,Renault,Automatic,Saudi,Full,2012,2.6,144000,20000
264,Cores,Makkah,Kia,Manual,Saudi,Standard,2005,4.0,400,10000
267,Cadenza,Dammam,Kia,Automatic,Gulf Arabic,Semi Full,2018,3.3,81000,70000
269,D'max,Jeddah,Suzuki,Manual,Other,Full,2001,1.0,1000,7000
270,Silverado,Dammam,Chevrolet,Automatic,Saudi,Standard,2018,5.3,127000,85000
271,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2017,3.5,128439,76500
272,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,69000,55000
273,Malibu,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2015,2.5,190217,27000
274,Land Cruiser Pickup,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,96000,95000
276,Charger,Riyadh,Dodge,Automatic,Other,Full,2020,3.6,9120,115000
277,Rio,Jeddah,Kia,Automatic,Other,Standard,2017,1.4,147000,26000
278,Maxima,Dammam,Nissan,Automatic,Other,Semi Full,2011,3.5,34000,20000
279,X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2018,2.5,30507,69500
280,Cruze,Taef,Chevrolet,Automatic,Saudi,Standard,2013,1.8,175,15000
282,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2019,2.0,54000,80000
285,Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2012,3.5,327000,35000
288,Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2018,1.5,94000,28500
290,S,Al-Jouf,Mercedes,Automatic,Other,Full,1993,3.0,138,22000
291,ES,Dammam,Lexus,Automatic,Other,Full,2019,3.5,40000,185000
292,Elantra,Taef,Hyundai,Manual,Saudi,Standard,2007,1.6,191700,13000
293,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2005,4.0,446,50000
294,C,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,210000,210000
296,Tahoe,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,275000,40000
297,S,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,26000,245000
298,FJ,Jeddah,Toyota,Automatic,Saudi,Standard,2016,4.0,130,100000
299,Seven,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.5,55531,27500
300,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,70263,89000
301,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,105500,32000
302,Malibu,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,175000,49000
303,Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,42000,138000
304,Azera,Tabouk,Hyundai,Automatic,Saudi,Standard,2018,3.5,147,2049
305,Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017,4.0,67357,126000
306,Land Cruiser Pickup,Aseer,Toyota,Manual,Saudi,Standard,1983,1.5,2580,15000
308,Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,58000,250000
310,C300,Riyadh,Chrysler,Automatic,Saudi,Full,2013,5.7,340000,40000
311,6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2015,2.0,82914,53000
312,Focus,Riyadh,Ford,Automatic,Saudi,Standard,2012,1.6,181,15000
313,Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.0,285000,36000
314,Sierra,Taef,GMC,Automatic,Gulf Arabic,Semi Full,2000,1.5,400000,10000
315,Caprice,Al-Baha,Chevrolet,Automatic,Other,Full,2009,6.0,350000,15000
316,Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,86852,109000
317,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2009,5.4,360,32000
318,G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,160000,100000
319,Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,30000,194500
320,Grand Marquis,Dammam,Mercury,Automatic,Saudi,Semi Full,2000,3.8,179000,14000
321,The 5,Khobar,BMW,Automatic,Gulf Arabic,Full,1997,2.0,300000,10000
322,3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,2.0,31000,54000
323,Camry,Al-Baha,Toyota,Automatic,Gulf Arabic,Standard,2014,2.2,80250,55000
324,ES,Riyadh,Lexus,Automatic,Other,Full,2018,3.5,66000,139000
325,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.8,200,56000
334,The 5,Jubail,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,16000,145000
336,CT-S,Dammam,Cadillac,Automatic,Saudi,Semi Full,2019,2.0,43000,135000
337,Malibu,Jeddah,Chevrolet,Automatic,Other,Semi Full,2013,2.5,220000,21000
340,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,166000,43000
341,LX,Riyadh,Lexus,Automatic,Saudi,Full,2014,5.7,220000,180000
342,C,Riyadh,Mercedes,Automatic,Gulf Arabic,Semi Full,2015,2.0,173000,108000
344,Impala,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2017,3.6,122102,53500
346,QX,Dammam,INFINITI,Automatic,Saudi,Full,2016,5.6,185000,119000
348,Seven,Riyadh,Changan,Automatic,Saudi,Standard,2021,1.5,11000,32500
349,Blazer,Wadi Dawasir,Chevrolet,Automatic,Saudi,Full,2008,3.6,128000,15000
352,C300,Riyadh,Chrysler,Automatic,Gulf Arabic,Full,2018,5.7,49000,135000
353,Taurus,Taef,Ford,Automatic,Saudi,Standard,2011,3.5,22000,50000
356,Wingle,Jeddah,Great Wall,Manual,Saudi,Full,2020,2.0,73000,1197
357,Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,132000,65000
359,H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,209677,47500
362,The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2019,2.0,6000,335000
363,Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,91815,86000
364,Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.0,124000,58500
365,Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,163000,69500
366,Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2018,1.5,88000,24000
367,Sonata,Qassim,Hyundai,Automatic,Other,Semi Full,2016,2.4,152000,52000
368,Impala,Dammam,Chevrolet,Automatic,Gulf Arabic,Standard,2018,3.6,112000,67000
369,Innova,Riyadh,Toyota,Automatic,Saudi,Full,2015,2.7,226000,45000
372,The M,Dammam,BMW,Automatic,Gulf Arabic,Standard,2018,2.0,1600,135000
373,CX9,Taef,Mazda,Automatic,Saudi,Full,2015,2.5,234000,57000
374,Yukon,Jeddah,GMC,Automatic,Other,Full,2020,5.3,63860,175000
375,Land Cruiser Pickup,Riyadh,Nissan,Manual,Saudi,Full,2012,4.8,339822,40000
376,Accord,Riyadh,Honda,Automatic,Saudi,Full,2017,2.4,139806,71500
377,Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,68000,66000
378,Camry,Al-Baha,Toyota,Manual,Saudi,Standard,2008,2.4,388000,17000
379,Cadenza,Riyadh,Kia,Automatic,Gulf Arabic,Full,2018,3.3,69000,95000
380,Camaro,Riyadh,Chevrolet,Automatic,Other,Full,2017,2.0,81633,120000
384,Suburban,Riyadh,GMC,Automatic,Other,Standard,2004,1.1,212,14000
386,Genesis,Riyadh,Hyundai,Automatic,Saudi,Full,2017,5.0,106000,90000
387,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,43000,30000
390,Taurus,Khobar,Ford,Automatic,Saudi,Semi Full,2011,3.5,281000,29500
391,Camry,Riyadh,Toyota,Automatic,Saudi,Full,2013,2.5,185000,42000
393,Land Cruiser 70,Hail,Toyota,Manual,Saudi,Semi Full,2011,4.0,352500,58000
395,Fusion,Al-Ahsa,Ford,Automatic,Saudi,Standard,2016,2.5,80000,50000
396,K5,Aseer,Kia,Automatic,Saudi,Standard,2021,2.5,30000,1414
399,Pathfinder,Riyadh,Nissan,Automatic,Saudi,Semi Full,2006,4.0,325000,15000
401,Grand Cherokee,Khobar,Jeep,Automatic,Saudi,Full,2020,3.6,52000,162000
403,Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,179858,121500
404,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,353000,39500
405,Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2018,2.5,90000,55000
409,Camry,Dammam,Toyota,Automatic,Saudi,Full,2020,3.5,26000,126000
410,Cerato,Qassim,Kia,Automatic,Saudi,Semi Full,2016,1.6,12100,30000
412,Charger,Jeddah,Dodge,Automatic,Saudi,Full,2017,5.7,64000,145000
413,Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,16682,76500
414,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,129413,57500
415,Traverse,Jubail,Chevrolet,Automatic,Gulf Arabic,Full,2012,3.6,176000,40000
416,Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2015,4.0,203843,90000
420,FJ,Qassim,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,114000,115000
423,Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,47000,1221
425,Suburban,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2018,5.3,58000,170000
426,Tahoe,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,110000,144000
427,Impala,Qassim,Chevrolet,Automatic,Gulf Arabic,Standard,2019,3.5,53000,80000
428,Charger,Riyadh,Dodge,Automatic,Saudi,Semi Full,2016,3.6,157136,84500
429,CX3,Al-Medina,Mazda,Automatic,Saudi,Semi Full,2018,2.9,78000,54000
430,Cerato,Arar,Kia,Automatic,Saudi,Standard,2015,1.6,120000,25000
431,Furniture,Aseer,Toyota,Automatic,Saudi,Semi Full,2013,4.1,285000,55000
433,C,Aseer,Mercedes,Automatic,Other,Full,2018,2.0,91000,138000
434,SEL,Dammam,Mercedes,Automatic,Other,Full,1990,4.0,89000,75000
435,Civic,Jeddah,Honda,Automatic,Saudi,Full,2016,2.0,68800,55000
436,Echo Sport,Riyadh,Ford,Automatic,Saudi,Standard,2015,1.4,101600,28000
437,Challenger,Dammam,Dodge,Automatic,Other,Full,2016,3.6,160000,89000
438,Hilux,Abha,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
439,S,Riyadh,Mercedes,Automatic,Other,Full,2015,3.0,300000,188000
443,CL,Dammam,Mercedes,Automatic,Saudi,Full,2011,4.0,60000,170000
444,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.0,56000,50000
446,Innova,Jeddah,Toyota,Automatic,Saudi,Semi Full,2007,2.7,199800,25000
447,S,Dammam,Mercedes,Automatic,Saudi,Full,2015,5.0,99000,255000
449,Yukon,Dammam,GMC,Automatic,Saudi,Standard,2013,5.3,327000,45000
455,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2012,3.8,86213,41500
456,Hilux,Jeddah,Toyota,Manual,Saudi,Full,2018,2.7,27000,88000
458,Edge,Riyadh,Ford,Automatic,Saudi,Full,2011,3.5,231000,35000
459,Wrangler,Jeddah,Jeep,Automatic,Saudi,Full,2015,3.6,200,85000
460,Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2015,3.2,125000,130000
461,Datsun,Riyadh,Nissan,Manual,Saudi,Full,2016,2.0,22000,45000
462,Taurus,Riyadh,Ford,Automatic,Other,Full,2016,3.5,105,83000
465,C,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,96000,170000
466,Charger,Al-Medina,Dodge,Automatic,Other,Full,2016,1.7,140,65000
467,Pajero,Dammam,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,216000,58000
468,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.5,161353,57500
471,Yaris,Abha,Toyota,Automatic,Saudi,Standard,2011,1.3,300500,14000
472,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,125000,66000
473,Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,190000,38000
475,Sierra,Qassim,GMC,Automatic,Saudi,Standard,2020,5.3,17000,135000
476,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,50000,33000
477,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88564,26800
480,Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2013,4.6,101000,150000
481,Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2013,4.6,281000,135000
